2020-11-04,49600
2020-11-05,69400
2020-11-06,89200
2020-11-07,118900
2020-11-08,148600
2020-11-09,178300
2020-11-10,208000
2020-11-11,237700
2020-11-12,267400
2020-11-13,307000
2020-11-14,346600
2020-11-15,386200
2020-11-16,425800
2020-11-17,465400
2020-11-18,514900
2020-11-19,564400
2020-11-20,623800
2020-11-21,683200
2020-11-22,742600
2020-11-23,802000
2020-11-24,861400
2020-11-25,920800
2020-11-26,980200
2020-11-27,1039600
2020-11-28,1039600
2020-11-29,1039600
2020-11-30,1039600
2020-12-01,1059400
2020-12-02,1079200
2020-12-03,1099000
2020-12-04,1118800
2020-12-05,1138600
2020-12-06,1158400
2020-12-07,1178200
2020-12-08,1198000
2020-12-09,1217800
2020-12-10,1237600
2020-12-11,1257400
2020-12-12,1277200
2020-12-13,1297000
2020-12-14,1316800
2020-12-15,1346500
2020-12-16,1376200
2020-12-17,1405900
2020-12-18,1435600
2020-12-19,1465300
2020-12-20,1495000
2020-12-21,1524700
2020-12-22,1554400
2020-12-23,1584100
